//////////// EXTRASUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
70 70 70	95 95 95	186 184 182		22 7 24		45 30 21	85 85 0		1 0 0		1.92	0.52	0.2	174	64 		45	2198	227	0.88		90 53 46	91 80 77	0 15 23 219			127 	42 29 22		127 	5 1 1		0 			220 0 0
//5AM
77 77 77	95 95 95	205 192 154		26 14 13	61 20 14	19 19 19	82 40 0		1.56	0.38	0.2	123	99 		0	2198	498	0.88		30 20 0		3 3 3		2 10 12 220			127 	42 33 22		127 	5 2 2		0 			90 0 1
//6AM
121 119 139	95 95 95	255 230 202		99 168 188	255 178 38	255 255 0	219 109 0	2.04	0.34	0.2	255	99 		0	2196	495	0.76		30 20 0		3 3 3		16 64 51 220			127 	35 35 24		127 	6 2 2		0 			120 0 1
//7AM
200 192 183	90 90 90	255 233 203		130 176 255	208 176 68	255 128 0	255 128 0	2.52	0.2	0.2	255	100 		0	1048	65472	0.62		100 34 25	120 92 88	51 79 91 219			127 	54 46 34		127 	8 3 3		0 			180 0 1
//Midday
187 181 171	100 100 100	255 248 213		75 146 254	138 183 180	254 127 0	254 125 38	2.68	0.2	0.2	255	0 		40	1048	75	0.5		114 81 78	119 111 110	14 111 128 219			0 	53 43 32		127 	18 7 7		0 			180 0 1
//7PM
189 186 167	100 100 100	254 249 207		51 173 252	81 177 189	253 178 101	253 138 14	1.62	0.2	0.2	227	0 		119	1870	65535	0.5		119 99 99	119 119 119	46 151 123 219			127 	43 39 35		127 	11 4 4		0 			140 0 1
//8PM
182 176 163	100 100 100	255 249 206		51 181 252	123 149 122	254 189 122	254 142 7	1.76	0.36	0.2	221	0 		120	987	32	0.52		120 100 100	120 120 120	56 157 119 219			127 	44 39 33		127 	9 2 2		0 			140 0 1
//10PM
48 48 48	95 95 95	233 153 80		255 83 0	255 139 0	99 62 25	122 50 50	1.42	0.5	0.8	201	30 		68	987	22	0.94		120 70 70	135 119 114	37 46 36 219			127 	62 40 34		127 	6 1 1		0 			90 0 1
//
//////////// SUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
119 119 119	95 95 95	101 102 118		9 11 15		33 29 34	255 255 0	5 0 0		0.2 	0.3 	1.02 	148 	99 		0 	2198 	22 	0.6		19 12 0		0 0 0		13 13 13 156			127 	21 32 50		127 	5 1 30		0 			220 0 0
//5AM
121 119 139	95 95 95	255 230 202		99 168 188	255 221 112	62 50 29	58 40 21	1.12	0.34 	0.2 	123 	99 		0 	2197 	406 	0.6		187 140 0	185 168 80	66 101 74 171			127 	64 46 24		127 	0 33 15		0 			90 0 1
//6AM
