# water.dat
# by ocram88

processed
-2998.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-2998.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2000.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-2998.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -1500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -1000.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2998.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 0.0 6.0 0.0 0.0 0.25 0.0	-2500.0 0.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 0.0 6.0 0.0 0.0 0.25 0.0	-2500.0 0.0 6.0 0.0 0.0 0.25 0.0	-2998.0 500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1000.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2998.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2000.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2998.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2500.0 6.0 0.0 0.0 0.25 0.0  1
-2998.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2998.0 2998.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2998.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -2500.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -1000.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -500.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 0.0 6.0 0.0 0.0 0.25 0.0	-2000.0 0.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 0.0 6.0 0.0 0.0 0.25 0.0	-2000.0 0.0 6.0 0.0 0.0 0.25 0.0	-2500.0 500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 500.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1000.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1500.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2000.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2500.0 6.0 0.0 0.0 0.25 0.0  1
-2500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2500.0 2998.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2998.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-1500.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 -2500.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-1800.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-1800.0 -1000.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-1800.0 -1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 -500.0 6.0 0.0 0.0 0.25 0.0	-1800.0 -500.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 -500.0 6.0 0.0 0.0 0.25 0.0	-1800.0 -500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 0.0 6.0 0.0 0.0 0.25 0.0	-1800.0 0.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 0.0 6.0 0.0 0.0 0.25 0.0	-1500.0 0.0 6.0 0.0 0.0 0.25 0.0	-2000.0 500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 500.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1000.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 1000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 1500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1500.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 1500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2000.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 2000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2500.0 6.0 0.0 0.0 0.25 0.0  1
-2000.0 2500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-2000.0 2998.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2998.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -2998.0 6.0 0.0 0.0 0.25 0.0	-1500.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -2500.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -2500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -2000.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -2000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 -1500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 -1500.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 0.0 6.0 0.0 0.0 0.25 0.0	-1080.0 0.0 6.0 0.0 0.0 0.25 0.0	-1500.0 500.0 6.0 0.0 0.0 0.25 0.0	-1080.0 500.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 500.0 6.0 0.0 0.0 0.25 0.0	-1040.0 500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-1040.0 1000.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 1000.0 6.0 0.0 0.0 0.25 0.0	-1000.0 1000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 1500.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 1500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 1500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-1000.0 2000.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 2000.0 6.0 0.0 0.0 0.25 0.0	-1000.0 2000.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 2500.0 6.0 0.0 0.0 0.25 0.0  1
-1500.0 2500.0 6.0 0.0 0.0 0.25 0.0	-1000.0 2500.0 6.0 0.0 0.0 0.25 0.0	-1500.0 2998.0 6.0 0.0 0.0 0.25 0.0	-1000.0 2998.0 6.0 0.0 0.0 0.25 0.0  1
